Grapheme	IPA	SCA	FREQUENCY	Frequence	EXAMPLES	Codepoints
nn	nː	N	14	16	ɔnnɔ-ˀu;nə-pʷənnəpʷən;no-wennowen;ɔnnokar;nanno	U+006e U+006e
nʷ	nʷ	N	6	7	nə-nʷaŋ-nal̥e;nʷaxata;nʷaɣata;nʷe-se;nʷa-taktak	U+006e U+02b7
n̥	n̥	N	101	97	nu-pʷaŋ-nan̥a-k;nə-pʷaŋ-nan̥a-k;ᵐbaŋ-nan̥a-k;nə-pʷaŋ-n̥aŋə-n;nə-pʷə-n̥aŋo-k	U+006e U+0325
n‧	nˑ	N	1	NULL	mi-manin‧	NULL
ñ̥	ɲ̊	N	1	NULL	na-pʷaŋ-ñ̥iŋi-k	NULL
ŋʷ	ŋʷ	N	92	91	ŋʷarasa;woŋʷal;woŋʷal;ⁿdiŋʷaŋo-ᵑgu;ⁿdiŋʷaŋo-ᵑgu	U+014b U+02b7
ɒ	ɒ	O	34	28	œβrɒ-;œβɒr-;œnɒ-;œnɒð-;n-øl_œβɛhɒ-	U+0252
b	b	P	365	1352	buču-k;bwozo-;bwa-ŋsu-;batu-k;boro-k	U+0062
p	p	P	4196	4348	putu-ˀu;patu-ku;pa·tu;patu-ˀu;patu-ku	U+0070
bʳ	bʳ	P	1	2	sebʳenok	U+0062 U+02b3
bʷ	bʷ	P	45	131	isibʷa;čibʷa-k;bʷa-k;bʷa‧se-;n-bʷaŋ	U+0062 U+02b7
ph	pʰ	P	2	2	ne-phoɣ;-pha	U+0070 U+0068
pp	pː	P	4	5	ne-ppa-n;na-pprai;ppe;ppinə	U+0070 U+0070
pʰ	pʰ	P	1	NULL	pʰaŋe	NULL
pʷ	pʷ	P	625	681	pʷatu-ku;pʷero-ku;pʷariŋanhu-ᵑgu;pʷatu-ku;pʷatu-ku	U+0070 U+02b7
p̈	p̺	P	125	123	p̈erp̈ari-;p̈erp̈ari-;p̈isu-patupoi;p̈uhu-k;p̈ito-k	U+0070 U+0308
ᵐb	ⁿb	P	2640	1621	ᵐboro-k;ᵐboro-k;ᵐboro-ŋ;ᵐboro-ŋ;ᵐba-ᵑk	U+1d50 U+0062
ᵐp	ⁿp	P	405	151	ᵐpatu-;ᵐporo-;ᵐpatu-;ᵐpatu-;ᵐpero-	U+1d50 U+0070
ⁿb	ⁿb	P	2	NULL	eteⁿbana;ruxiⁿbetne-n	NULL
ʰᵐb	ⁿb̥	P	2	NULL	-aʰᵐbel;-aʰᵐbel	NULL
ᵇdʳ	bdʳ	P	1	NULL	-ⁿdʳemᵇdʳem	NULL
ᵐbʳ	ⁿbʳ	P	1	NULL	-tˢetˢᵐbʳi	NULL
ᵐbʷ	ⁿbʷ	P	309	216	ᵐbʷatu-k;ᵐbʷatu-k;ᵐbʷati-ŋ;ᵐbʷatø-ŋ;ᵐbʷatu-k	U+1d50 U+0062 U+02b7
ᵐpʷ	ⁿpʷ	P	2	NULL	na-ᵐpʷokasi;kiliŋa_ᵐpʷe	NULL
ᵐʰb	ⁿb̺	P	4	3	ᵐʰbaɣeo;ᵐʰbeᵐʰbe;ᵐʰbeᵐʰbe;aᵐʰba-	U+0061 U+1d50 U+02b0
r	ɾ	R	11515	11245	ᵏpʷoro-k;kʷœrœ-k;ᵏpʷoro-k;kʷoro-k;na-ᵏpʷuru-k	U+0072
ř	r	R	41	39	nřaliŋa-ku;nřalo-;řaŋaha-ku;puřo-ku;mařawu-ᵑku	U+0159
rʷ	ɾʷ	R	1	NULL	rʷɛr	NULL
rˢ	ɾˢ	R	1	NULL	rˢalo	NULL
r̃	ɾ̞	R	35	34	pʷer̃o;per̃o;ur̃u-;r̃li-;r̃əli-	U+0072 U+0303
r̥	ɾ̥	R	67	67	no-r̥imu-ŋ;r̥iβo-ŋ;r̥umo-ᵑk;r̥iβo-ᵑk;r̥ewe-k	U+0072 U+0325
s	s	S	8388	7598	ŋusu-k;lisu-ku;lisu-ᵑgu;lisu-k;lisu-k	U+0073
z	z	S	55	52	bwozo-;dolo-mza-;zi-;wuzu-;mazəkaraβ-	U+007a
š	ʃ	S	13	13	no-iβinisnaiši;ntšana-;ni-muši;fuš;nə-meriše	U+0161
ž	ʒ	S	3	10	n-dži-n;uža;n-džar	U+017e
ss	sː	S	9	9	na-ssu-k;ɛssi;assaru;ssye-;marapopossu	U+0073 U+0073
d	d	T	273	814	delŋo-k;mudu-k;ne-dɛlŋɛ-k;ni-mdi-k;delŋo-k	U+0064
t	t	T	11287	11131	kʷuti-k;toiŋo-k;miti-k;kʷutu-k;kʷutu-k	U+0074
č	tʃ	T	807	803	ᵏpʷiči-k;buču-k;čalna-ku;puču-ŋ;čomro-ᵐbatu-k	U+010d
ǰ	dʒ	T	11	11	nǰapa;nǰapa;yonǰulu;yœnǰul;yœnǰulu	U+01f0
ḍ	ɖ	T	20	30	uḍu-;ḍolo-;ḍano_na_mata-;taoḍu;uḍu-	U+1e0d
ṭ	ʈ	T	12	12	uṭu;aṭalo-;ṭom̈i-;ṭae-;ṭiṭiu	U+1e6d
dʳ	dʳ	T	44	298	dʳeleŋa-k;dʳu-k;n-kandʳo-k;ᵑgandʳo-k;dʳolo-k	U+0064 U+02b3
tt	tː	T	8	9	ɣitteye;βa-ttas;wattek;βa-tatta;nɒttu	U+0074 U+0074
tʰ	tʰ	T	3	3	tʰai;tʰailaŋi;tʰano	U+0074 U+02b0
tʳ	tʳ	T	77	76	tʳalna-ku;utʳu-ku;tʳolo-ku;n-ᵐbtʳalo-m;ne-tʳo-ᵑk	U+0074 U+02b3
tʷ	tʷ	T	1	2	patʷiliu	U+0074 U+02b7
čʰ	tʃʰ	T	1	NULL	mačʰiaβʷaβu	NULL
ⁿd	ⁿd	T	1212	667	ⁿdelŋo-k;muⁿd-k;ⁿdœlnœ-k;müⁿdü-k;miⁿdi-k	U+207f U+0064
ⁿḍ	ⁿɖ	T	25	13	uⁿḍu-;ⁿḍomi;aⁿḍui-;ⁿḍae-;ⁿḍaleβete	U+207f U+1e0d
tˢʰ	tʃ	T	11	NULL	tˢʰnu-m;ntˢʰa-;fulumtˢʰna-m;na-tˢʰi;ⁿdžətˢʰelwərən	NULL
ⁿdž	ⁿdʒ	T	7	NULL	ⁿdžoŋo-n;ⁿdželɣe-n;ⁿdžəne-n;ⁿdžətˢʰelwərən;ⁿdžal	NULL
ⁿdʳ	ⁿdʳ	T	462	208	ⁿdʳlna-k;ⁿdʳlne-k;uⁿdʳu-;uⁿdʳu-;uⁿdʳu-k	U+207f U+0064 U+02b3
ⁿdʷ	ⁿdʷ	T	1	NULL	ⁿdʷu-	NULL
o	o	U	12754	12309	toiŋo-k;toiŋo-k;delŋo-k;ⁿdelŋo-k;ᵏpʷoro-k	U+006f
ö	ø	U	38	38	parö-n;ⁿdrarö-ŋ;na-möre-n;parβusö-n;na-βiⁿdröma-ŋ	U+00f6
ø	ø	U	47	40	ᵐbʷatø-ŋ;hansø-ŋ;n-øl-;n-øl_œβɛhɒ-;søsø-ŋ	U+00f8
œ	œ	U	1084	1012	ⁿdœlnœ-k;ⁿdœlnœ-k;kʷœtü-k;kʷœrœ-k;kʷœrœ-k	U+0153
