ID	Number	Name	Region	Locality	Collector	SubFamily	Group	SubGroup	Comment	FullName	Glottocode	Latitude	Longitude
burupika	140	Burupika	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Burupika	bier1244	-16.6204040848939	168.188140064152
yevali	141	Yevali	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Yevali	bier1244	-16.6229597431786	168.156847461123
burumba	142	Burumba	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Burumba	baki1244	-16.7096	168.165
maemorae	143	Mae-Morae	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi		Mae-Morae	maii1238	-16.7388	168.211
vowa	144	Vowa	Ep	Epi	D.T.Tryon	New Hebrides	North & Central New Hebrides	Epi	called Vovo in the overview	Vowa	bier1246	-16.7873867237431	168.171924350045
bonga	145	Bonga.	Sh	Shepherd Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Bongabonga	nama1268	-16.9266234230186	168.558806787722
tonga	146	Tonga.	Sh	Shepherd Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Tongariki	tong1322	-17.00607	168.62417
makura	147	Makura	Sh	Shepherd Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Makura	maku1276	-17.13117	168.43178
mataso	148	Mataso	Sh	Shepherd Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Mataso	mata1250	-17.25681	168.42964
makatea	149	Makatea	Sh	Shepherd Is.	D.T.Tryon	Polynesian	Polynesian Outlier	Polynesian Outlier		Makatea	emae1237	-17.052	168.399
woraviu	150	Woraviu	Sh	Shepherd Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Woraviu	nort2836	-16.8741107440895	168.587048992535
sesake	151	Sesake	Sh	Shepherd Is.	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Sesake	sesa1243	-17.04374	168.39290
nguna	152	Nguna	Ef	Efate	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Nguna	ngun1274	-17.46104	168.36187
pwele	153	Pwele	Ef	Efate	G.W.Grace	New Hebrides	North & Central New Hebrides	Central New Hebrides		Pwele	nort2836	-17.4907731193591	168.404931723407
siviri	154	Siviri	Ef	Efate	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Siviri	nort2836	-17.5277833419922	168.320934625906
lelepa	155	Lelepa	Ef	Efate	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Lelepa	lele1267	-17.6042	168.202
pango	156	Pango	Ef	Efate	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Pango	sout2856	-17.7786750254133	168.263687155017
eratap	157	Eratap	Ef	Efate	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Eratap	sout2856	-17.7844057570127	168.398710851944
eton	158	Eton	Ef	Efate	D.T.Tryon	New Hebrides	North & Central New Hebrides	Central New Hebrides		Eton	eton1255	-17.74	168.549
fila	159	Fila	Ef	Efate	D.T.Tryon	Polynesian	Polynesian Outlier	Polynesian Outlier		Fila	fila1237	-17.747931	168.296138
mele	160	Mele	Ef	Efate	D.T.Tryon	Polynesian	Polynesian Outlier	Polynesian Outlier		Mele	mele1251	-17.69099	168.26810
sie	161	Sie	Er	Erromanga	D.T.Tryon	New Hebrides	Erromanga	Erromanga		Sie	siee1239	-18.8481683301415	169.022748708369
ura	162	Ura	Er	Erromanga	A.Capell	New Hebrides	Erromanga	Erromanga		Ura	urav1235	-18.6747	169.084
isiai	163	Isiai	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Isiai	kwam1252	-19.6187353295963	169.459391006324
yatuk	164	Yatuk.	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Yatukwey	kwam1252	-19.5954	169.442
portr	165	Port R.	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Port Resolution	kwam1252	-19.5262597985431	169.491124886077
iarkei	166	Iarkei	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Iarkei	whit1269	-19.4836889546783	169.42543929277
loniel	167	Loniel	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Loniel	whit1269	-19.4764650624339	169.386163158225
northt	168	North T.	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		North Tanna	nort2847	-19.3733	169.303
lenakel	169	Lenakel	Ta	Tanna	J.D.Lynch	New Hebrides	Tanna	Tanna		Lenakel	lena1238	-19.5137457263894	169.250325323056
lenau	170	Lenau.	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Lenaukas	lena1238	-19.376259760222	169.343215666012
lonas	171	Lonas.	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Lonasilian	lena1238	-19.4390423751069	169.225933094408
lapwang	172	Lapwang.	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Lapwangtoai	sout2869	-19.4762901181984	169.349872188661
imreang	173	Imreang	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Imreang	sout2869	-19.5152937265809	169.314704003032
ikiyau	174	Ikiyau	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Ikiyau	sout2869	-19.5365059812251	169.420996241722
enfit	175	Enfit.	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Enfitena	sout2869	-19.57953	169.35603
ikiti	176	Ikiti	Ta	Tanna	D.T.Tryon	New Hebrides	Tanna	Tanna		Ikiti	sout2869	-19.6462450963689	169.397249299121
aneityum	177	Aneityum		Aneityum	G.W.Grace	New Hebrides	Aneityum	Aneityum		Aneityum	anei1239	-20.1864	169.825
aniwa	178	Aniwa		Aniwa	D.T.Tryon	Polynesian	Polynesian Outlier	Polynesian Outlier		Aniwa	aniw1237	-19.25407	169.60007
futuna	179	Futuna		Futuna	D.T.Tryon	Polynesian	Polynesian Outlier	Polynesian Outlier		Futuna	west2515	-19.52582	170.21238
