ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Locality,Comment,Number,Region,FullName,Collector,SubFamily,Group,SubGroup
wusimana,Wusi-Mana,wusi1237,Kula (Vanuatu),wsi,Papunesia,-15.2786,166.696,Austronesian,Santo,,40,,Wusi-Mana,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
kerepua,Kerepua,wusi1237,Kula (Vanuatu),wsi,Papunesia,-15.2786,166.696,Austronesian,Santo,,41,,Kerepua,B.Bomo,New Hebrides,North & Central New Hebrides,West Santo
vunapu,Vunapu,vuna1239,Vunapu,vnp,Papunesia,-14.7825707048755,166.695911029183,Austronesian,Santo,,42,,Vunapu,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
piamatsina,Piamatsina,piam1242,Piamatsina,ptr,Papunesia,-14.8552301861272,166.760333649255,Austronesian,Santo,,43,,Piamatsina,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
tolomako,Tolomako,tolo1255,Tolomako,tlm,Papunesia,-15.1510004391464,166.820397133684,Austronesian,Santo,,44,,Tolomako,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
malmariv,Malmariv,tial1239,Tiale,mnl,Papunesia,-15.2334,166.842,Austronesian,Santo,,45,,Malmariv,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
nonona,Nonona,wusi1237,Kula (Vanuatu),wsi,Papunesia,-15.379842978715,166.771362956096,Austronesian,Santo,,46,,Nonona,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
navut,Navut,navu1237,Navut,nsw,Papunesia,-15.3989945065584,166.7791802792,Austronesian,Santo,,47,,Navut,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
lametin,Lametin,mere1242,Merei,lmb,Papunesia,-15.2839,166.905,Austronesian,Santo,,48,,Lametin,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
morouas,Morouas,moro1286,Ande,mrp,Papunesia,-15.3645861843604,166.914861477685,Austronesian,Santo,,49,,Morouas,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
batunlamak,Batunlamak,moro1286,Ande,mrp,Papunesia,-15.4795417773077,166.981668169005,Austronesian,Santo,,50,,Batunlamak,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
matae,Matae,navu1237,Navut,nsw,Papunesia,-15.4198442928265,166.780831667971,Austronesian,Santo,,51,,Matae,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
akei,Akei,akei1237,Akei,tsr,Papunesia,-15.4602615541585,166.775018298723,Austronesian,Santo,,52,,Akei,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
fortsenal,Fortsenal,fort1240,Kiai,frt,Papunesia,-15.506237393099,166.905081166701,Austronesian,Santo,,53,,Fortsenal,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
penantsiro,Penantsiro,akei1237,Akei,tsr,Papunesia,-15.539360619858,166.925473584681,Austronesian,Santo,,54,,Penantsiro,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
tasiriki,Tasiriki,akei1237,Akei,tsr,Papunesia,-15.6377,166.767,Austronesian,Santo,,55,,Tasiriki,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
wailapa,Wailapa,wail1242,Ale,wlr,Papunesia,-15.5813742773302,166.933444472859,Austronesian,Santo,,56,,Wailapa,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
roria,Roria,rori1237,Mores,rga,Papunesia,-15.425496285782,166.862617882633,Austronesian,Santo,,57,,Roria,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
amblong,Amblong,ambl1237,Amblong,alm,Papunesia,-15.53939708393,166.994252804102,Austronesian,Santo,,58,,Amblong,A.L.Jackson,New Hebrides,North & Central New Hebrides,West Santo
narango,Narango,nara1263,Narango,nrg,Papunesia,-15.5579157998599,166.993689125454,Austronesian,Santo,,59,,Narango,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
polonombauk,Polonombauk,polo1242,Polonombauk,plb,Papunesia,-15.5150053060469,167.10641693993,Austronesian,Santo,,60,,Polonombauk,D.T.Tryon,New Hebrides,East Santo,South-East Santo
butmas,Butmas,butm1237,Farafi,bnr,Papunesia,-15.3353,167.034,Austronesian,Santo,,61,,Butmas,A.L.Jackson,New Hebrides,East Santo,South-East Santo
tur,Tur,butm1237,Farafi,bnr,Papunesia,-15.3923302762479,167.029602293738,Austronesian,Santo,,62,,Tur,A.L.Jackson,New Hebrides,East Santo,South-East Santo
nambel,Nambel,nara1263,Narango,nrg,Papunesia,-15.4544806623895,167.106103989567,Austronesian,Santo,,63,,Nambel,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
