ID,Name,Concepticon_ID,Concepticon_Gloss,Number
232_swim,swim,1439,SWIM,232
233_eat,eat,1336,EAT,233
234_stand,stand,1442,STAND,234
235_sit,sit,1416,SIT,235
236_callout,call out,715,SHOUT,236
237_run,run,1519,RUN,237
238_fall,fall,1280,FALL,238
239_sleep,sleep,1585,SLEEP,239
240_laugh,laugh,1355,LAUGH,240
241_blow,blow,176,BLOW (WITH MOUTH),241
242_hold,hold,1448,HOLD,242
243_fly,fly,1441,FLY (MOVE THROUGH AIR),243
244_tie,tie,1917,TIE,244
245_spit,spit,1440,SPIT,245
246_breathe,breathe,1407,BREATHE,246
247_burn,burn,2102,BURN,247
248_count,count,1420,COUNT,248
249_cut,cut,1432,CUT,249
250_dig,dig,1418,DIG,250
251_drink,drink,1401,DRINK,251
252_fear,fear,1419,FEAR (BE AFRAID),252
253_float,float,1574,FLOAT,253
254_flow,flow,2003,FLOW,254
255_hunt,hunt,1435,HUNT,255
256_kill,kill,1417,KILL,256
257_know,know,3626,KNOW,257
258_liedown,lie down,215,LIE DOWN,258
259_live,live,1422,BE ALIVE,259
260_play,play,1413,PLAY,260
261_pull,pull,1455,PULL,261
262_push,push,1452,PUSH,262
263_rub,rub,1449,RUB,263
264_say,say¹,1458,SAY,264
265_scratch,scratch,1436,SCRATCH,265
266_sew,sew,1457,SEW,266
267_sing,sing,1261,SING,267
268_smell,smell,2124,SMELL,268
269_split,split,1437,SPLIT,269
270_squeeze,squeeze,1414,SQUEEZE,270
271_stab,stab,1434,STAB,271
272_suck,suck,1421,SUCK,272
273_swell,swell,1573,SWELL,273
274_think,think,2271,THINK,274
275_throw,throw,1456,THROW,275
276_turn,turn,1588,TURN,276
277_walk,walk,1443,WALK,277
278_wash,wash,1453,WASH,278
279_wipe,wipe,1454,WIPE,279
280_all,all,98,ALL,280
281_and,and,1577,AND,281
282_far,far,1406,FAR,282
283_here,here,136,HERE,283
284_how,how,1239,HOW,284
285_if,if,1459,IF,285
286_in,in,1460,IN,286
287_near,near,1942,NEAR,287
288_not,not,1240,NOT,288
289_that,that,78,THAT,289
290_there,there,1937,THERE,290
291_this,this,1214,THIS,291
292_with,with,1340,WITH,292
